date,close
2020-05-22,242.64
2020-05-26,246.27
2020-05-27,247.05
2020-05-28,249.74
2020-05-29,247.53
2020-06-01,247.42
2020-06-02,246.35
2020-06-03,247.37
2020-06-04,249.72
2020-06-05,249.88
2020-06-08,255.44
2020-06-09,255.26
2020-06-10,252.99
2020-06-11,248.89
2020-06-12,243.99
2020-06-15,239.49
2020-06-16,247.61
2020-06-17,252.06
2020-06-18,250.6
2020-06-19,255.63
2020-06-22,253.9
2020-06-23,254.36
2020-06-24,250.12
2020-06-25,247.09
2020-06-26,250.37
2020-06-29,246.24
2020-06-30,250.85
2020-07-01,250.44
2020-07-02,252.9
2020-07-03,253.36
2020-07-06,255.56
2020-07-07,254.32
2020-07-08,253.08
2020-07-09,252.9
2020-07-10,251.24
2020-07-13,256.26
2020-07-14,255.17
2020-07-15,258.29
2020-07-16,258.0
2020-07-17,259.54
2020-07-20,258.06
2020-07-21,260.03
2020-07-22,258.08
2020-07-23,260.81
2020-07-24,256.07
2020-07-27,253.31
2020-07-28,253.7
2020-07-29,250.46
2020-07-30,249.74
2020-07-31,251.17
2020-08-03,254.91
2020-08-04,255.06
2020-08-05,255.65
2020-08-06,254.92
2020-08-07,257.48
2020-08-10,259.7
2020-08-11,260.75
2020-08-12,259.95
2020-08-13,260.45
2020-08-14,259.91
2020-08-17,261.1
2020-08-18,259.55
2020-08-19,258.98
2020-08-20,259.67
2020-08-21,260.01
2020-08-24,263.79
2020-08-25,265.16
2020-08-26,264.5
2020-08-27,266.39
2020-08-28,264.67
2020-09-01,263.3
2020-09-02,268.41
2020-09-03,271.8
2020-09-04,262.95
2020-09-07,263.36
2020-09-08,263.39
2020-09-09,262.37
2020-09-10,262.17
2020-09-11,265.2
2020-09-14,265.46
2020-09-15,266.9
2020-09-16,266.86
2020-09-17,260.82
2020-09-18,261.53
2020-09-21,256.97
2020-09-22,258.11
2020-09-23,264.95
2020-09-24,256.71
2020-09-25,256.47
2020-09-28,261.98
2020-09-29,263.59
2020-09-30,261.66
2020-10-01,267.2
2020-10-02,261.25
2020-10-05,263.35
2020-10-06,266.57
2020-10-07,265.95
2020-10-08,269.16
2020-10-09,269.73
2020-10-12,271.72
2020-10-13,273.91
2020-10-14,274.4
2020-10-15,269.91
2020-10-16,273.56
2020-10-19,273.43
2020-10-20,269.83
2020-10-21,266.64
2020-10-22,265.39
2020-10-23,267.41
2020-10-26,266.15
2020-10-27,265.09
2020-10-28,261.1
2020-10-29,255.89
2020-10-30,256.09
2020-11-02,260.24
2020-11-03,261.38
2020-11-04,263.44
2020-11-05,271.81
2020-11-06,268.79
2020-11-09,280.2
2020-11-10,271.17
2020-11-11,273.05
2020-11-12,275.08
2020-11-13,274.35
2020-11-16,278.04
2020-11-17,275.74
2020-11-18,275.58
2020-11-19,272.8
2020-11-20,273.47
2020-11-23,271.15
2020-11-24,273.92
2020-11-25,276.53
2020-11-26,275.61
2020-11-27,276.32
2020-11-30,275.06
2020-12-01,278.68
2020-12-02,278.29
2020-12-03,276.85
2020-12-04,276.26
2020-12-07,283.08
2020-12-08,279.44
2020-12-09,279.03
2020-12-10,281.02
